index,gmt_occur,amt,fund_channel,event_name,scene,user_id,opposite_user_id
0,2023-09-01 06:20:24,710.0,moneyfund,payment,transfer to account,u008,u016
1,2023-09-01 09:44:05,500.0,debit_card,payment,instant transfer,u007,u006
2,2023-09-01 09:45:12,699.0,debit_card,payment,instant transfer,u007,u014
3,2023-09-01 13:14:53,500.0,alicredit,payment,instant transfer,u005,u011
4,2023-09-01 15:41:18,526.0,alicredit,payment,instant transfer,u002,u015
5,2023-09-01 20:42:10,13000.0,balance,transfer to card,others,u012,u014
6,2023-09-01 20:43:21,6216.8,balance,transfer to card,others,u012,u014
7,2023-09-01 20:43:46,2000.0,balance,transfer to card,others,u012,u008
8,2023-09-01 21:20:16,500.0,balance,payment,instant transfer,u014,u000
9,2023-09-01 21:26:55,1000.0,balance,transfer to card,others,u010,u011
10,2023-09-01 22:09:10,1900.0,debit_card,payment,instant transfer,u007,u013
11,2023-09-01 22:15:53,1500.0,moneyfund,payment,instant transfer,u007,u009
12,2023-09-01 22:17:45,1200.0,debit_card,payment,instant transfer,u007,u001
13,2023-09-01 22:18:15,2400.0,debit_card,payment,instant transfer,u007,u004
14,2023-09-01 23:09:06,2318.0,debit_card,payment,instant transfer,u003,u016
